"STATISTIC","Statistic Label","TLIST(A1)","Year","C03151V03803","Type of Dwelling","C03440V04149","Energy Rating","UNIT","VALUE"
"DBEREL01C01","Household Electricity Consumption","2021","2021","09","Semi-detached house","10","F- G","Mean kilowatt-hours","4612"
"DBEREL01C01","Household Electricity Consumption","2021","2021","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4914"
"DBEREL01C01","Household Electricity Consumption","2021","2021","08","Detached house","13","A - B","Mean kilowatt-hours","8712"
"DBEREL01C01","Household Electricity Consumption","2021","2021","08","Detached house","07","C","Mean kilowatt-hours","8868"
"DBEREL01C01","Household Electricity Consumption","2021","2021","08","Detached house","08","D","Mean kilowatt-hours","6474"
"DBEREL01C01","Household Electricity Consumption","2021","2021","08","Detached house","09","E","Mean kilowatt-hours","5954"
"DBEREL01C01","Household Electricity Consumption","2021","2021","08","Detached house","10","F- G","Mean kilowatt-hours","4520"
"DBEREL01C01","Household Electricity Consumption","2021","2021","08","Detached house","-","All BER ratings","Mean kilowatt-hours","7964"
"DBEREL01C01","Household Electricity Consumption","2021","2021","-","All dwellings","13","A - B","Mean kilowatt-hours","5887"
"DBEREL01C01","Household Electricity Consumption","2021","2021","-","All dwellings","07","C","Mean kilowatt-hours","5772"
"DBEREL01C01","Household Electricity Consumption","2021","2021","-","All dwellings","08","D","Mean kilowatt-hours","5611"
"DBEREL01C01","Household Electricity Consumption","2021","2021","-","All dwellings","09","E","Mean kilowatt-hours","5296"
"DBEREL01C01","Household Electricity Consumption","2021","2021","-","All dwellings","10","F- G","Mean kilowatt-hours","4371"
"DBEREL01C01","Household Electricity Consumption","2021","2021","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
"DBEREL01C01","Household Electricity Consumption","2022","2022","01","Apartment","13","A - B","Mean kilowatt-hours","2999"
"DBEREL01C01","Household Electricity Consumption","2022","2022","01","Apartment","07","C","Mean kilowatt-hours","5077"
"DBEREL01C01","Household Electricity Consumption","2022","2022","01","Apartment","08","D","Mean kilowatt-hours","4969"
"DBEREL01C01","Household Electricity Consumption","2022","2022","01","Apartment","09","E","Mean kilowatt-hours","4740"
"DBEREL01C01","Household Electricity Consumption","2022","2022","01","Apartment","10","F- G","Mean kilowatt-hours","3904"
"DBEREL01C01","Household Electricity Consumption","2022","2022","01","Apartment","-","All BER ratings","Mean kilowatt-hours","4515"
"DBEREL01C01","Household Electricity Consumption","2022","2022","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","3835"
"DBEREL01C01","Household Electricity Consumption","2022","2022","11","Mid-terrace house","07","C","Mean kilowatt-hours","5594"
"DBEREL01C01","Household Electricity Consumption","2022","2022","11","Mid-terrace house","08","D","Mean kilowatt-hours","5202"
"DBEREL01C01","Household Electricity Consumption","2022","2022","11","Mid-terrace house","09","E","Mean kilowatt-hours","4625"
"DBEREL01C01","Household Electricity Consumption","2022","2022","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","3706"
"DBEREL01C01","Household Electricity Consumption","2022","2022","11","Mid-terrace house","-","All BER ratings","Mean kilowatt-hours","4240"
"DBEREL01C01","Household Electricity Consumption","2022","2022","10","End of terrace house","13","A - B","Mean kilowatt-hours","4121"
"DBEREL01C01","Household Electricity Consumption","2022","2022","10","End of terrace house","07","C","Mean kilowatt-hours","5540"
"DBEREL01C01","Household Electricity Consumption","2022","2022","10","End of terrace house","08","D","Mean kilowatt-hours","5715"
"DBEREL01C01","Household Electricity Consumption","2022","2022","10","End of terrace house","09","E","Mean kilowatt-hours","5069"
"DBEREL01C01","Household Electricity Consumption","2022","2022","10","End of terrace house","10","F- G","Mean kilowatt-hours","4223"
"DBEREL01C01","Household Electricity Consumption","2022","2022","10","End of terrace house","-","All BER ratings","Mean kilowatt-hours","4415"
"DBEREL01C01","Household Electricity Consumption","2022","2022","09","Semi-detached house","13","A - B","Mean kilowatt-hours","4540"
"DBEREL01C01","Household Electricity Consumption","2022","2022","09","Semi-detached house","07","C","Mean kilowatt-hours","5475"
"DBEREL01C01","Household Electricity Consumption","2022","2022","09","Semi-detached house","08","D","Mean kilowatt-hours","5297"
"DBEREL01C01","Household Electricity Consumption","2022","2022","09","Semi-detached house","09","E","Mean kilowatt-hours","4892"
"DBEREL01C01","Household Electricity Consumption","2022","2022","09","Semi-detached house","10","F- G","Mean kilowatt-hours","4109"
"DBEREL01C01","Household Electricity Consumption","2022","2022","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4598"
"DBEREL01C01","Household Electricity Consumption","2022","2022","08","Detached house","13","A - B","Mean kilowatt-hours","7979"
"DBEREL01C01","Household Electricity Consumption","2022","2022","08","Detached house","07","C","Mean kilowatt-hours","7849"
"DBEREL01C01","Household Electricity Consumption","2022","2022","08","Detached house","08","D","Mean kilowatt-hours","5869"
"DBEREL01C01","Household Electricity Consumption","2022","2022","08","Detached house","09","E","Mean kilowatt-hours","5403"
"DBEREL01C01","Household Electricity Consumption","2022","2022","08","Detached house","10","F- G","Mean kilowatt-hours","4156"
"DBEREL01C01","Household Electricity Consumption","2022","2022","08","Detached house","-","All BER ratings","Mean kilowatt-hours","7346"
"DBEREL01C01","Household Electricity Consumption","2022","2022","-","All dwellings","13","A - B","Mean kilowatt-hours","5214"
"DBEREL01C01","Household Electricity Consumption","2022","2022","-","All dwellings","07","C","Mean kilowatt-hours","5230"
"DBEREL01C01","Household Electricity Consumption","2022","2022","-","All dwellings","08","D","Mean kilowatt-hours","5076"
"DBEREL01C01","Household Electricity Consumption","2022","2022","-","All dwellings","09","E","Mean kilowatt-hours","4817"
"DBEREL01C01","Household Electricity Consumption","2022","2022","-","All dwellings","10","F- G","Mean kilowatt-hours","3974"
"DBEREL01C01","Household Electricity Consumption","2022","2022","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
"DBEREL01C01","Household Electricity Consumption","2023","2023","01","Apartment","13","A - B","Mean kilowatt-hours","2977"
"DBEREL01C01","Household Electricity Consumption","2023","2023","01","Apartment","07","C","Mean kilowatt-hours","4801"
"DBEREL01C01","Household Electricity Consumption","2023","2023","01","Apartment","08","D","Mean kilowatt-hours","4720"
"DBEREL01C01","Household Electricity Consumption","2023","2023","01","Apartment","09","E","Mean kilowatt-hours","4476"
"DBEREL01C01","Household Electricity Consumption","2023","2023","01","Apartment","10","F- G","Mean kilowatt-hours","3740"
"DBEREL01C01","Household Electricity Consumption","2023","2023","01","Apartment","-","All BER ratings","Mean kilowatt-hours","4196"
"DBEREL01C01","Household Electricity Consumption","2023","2023","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","3990"
"DBEREL01C01","Household Electricity Consumption","2023","2023","11","Mid-terrace house","07","C","Mean kilowatt-hours","5284"
"DBEREL01C01","Household Electricity Consumption","2023","2023","11","Mid-terrace house","08","D","Mean kilowatt-hours","4870"
"DBEREL01C01","Household Electricity Consumption","2023","2023","11","Mid-terrace house","09","E","Mean kilowatt-hours","4422"
"DBEREL01C01","Household Electricity Consumption","2023","2023","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","3568"
"DBEREL01C01","Household Electricity Consumption","2023","2023","11","Mid-terrace house","-","All BER ratings","Mean kilowatt-hours","4185"
"DBEREL01C01","Household Electricity Consumption","2023","2023","10","End of terrace house","13","A - B","Mean kilowatt-hours","4354"
"DBEREL01C01","Household Electricity Consumption","2023","2023","10","End of terrace house","07","C","Mean kilowatt-hours","5143"
"DBEREL01C01","Household Electricity Consumption","2023","2023","10","End of terrace house","08","D","Mean kilowatt-hours","5311"
"DBEREL01C01","Household Electricity Consumption","2023","2023","10","End of terrace house","09","E","Mean kilowatt-hours","4786"
"DBEREL01C01","Household Electricity Consumption","2023","2023","10","End of terrace house","10","F- G","Mean kilowatt-hours","3937"
"DBEREL01C01","Household Electricity Consumption","2023","2023","10","End of terrace house","-","All BER ratings","Mean kilowatt-hours","4450"
"DBEREL01C01","Household Electricity Consumption","2023","2023","09","Semi-detached house","13","A - B","Mean kilowatt-hours","4670"
"DBEREL01C01","Household Electricity Consumption","2023","2023","09","Semi-detached house","07","C","Mean kilowatt-hours","4739"
"DBEREL01C01","Household Electricity Consumption","2023","2023","09","Semi-detached house","08","D","Mean kilowatt-hours","5025"
"DBEREL01C01","Household Electricity Consumption","2023","2023","09","Semi-detached house","09","E","Mean kilowatt-hours","4657"
"DBEREL01C01","Household Electricity Consumption","2023","2023","09","Semi-detached house","10","F- G","Mean kilowatt-hours","3897"
"DBEREL01C01","Household Electricity Consumption","2023","2023","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4648"
"DBEREL01C01","Household Electricity Consumption","2023","2023","08","Detached house","13","A - B","Mean kilowatt-hours","8052"
"DBEREL01C01","Household Electricity Consumption","2023","2023","08","Detached house","07","C","Mean kilowatt-hours","7535"
"DBEREL01C01","Household Electricity Consumption","2023","2023","08","Detached house","08","D","Mean kilowatt-hours","5567"
"DBEREL01C01","Household Electricity Consumption","2023","2023","08","Detached house","09","E","Mean kilowatt-hours","5056"
"DBEREL01C01","Household Electricity Consumption","2023","2023","08","Detached house","10","F- G","Mean kilowatt-hours","3912"
"DBEREL01C01","Household Electricity Consumption","2023","2023","08","Detached house","-","All BER ratings","Mean kilowatt-hours","7388"
"DBEREL01C01","Household Electricity Consumption","2023","2023","-","All dwellings","13","A - B","Mean kilowatt-hours","5127"
"DBEREL01C01","Household Electricity Consumption","2023","2023","-","All dwellings","07","C","Mean kilowatt-hours","4934"
"DBEREL01C01","Household Electricity Consumption","2023","2023","-","All dwellings","08","D","Mean kilowatt-hours","4811"
"DBEREL01C01","Household Electricity Consumption","2023","2023","-","All dwellings","09","E","Mean kilowatt-hours","4553"
"DBEREL01C01","Household Electricity Consumption","2023","2023","-","All dwellings","10","F- G","Mean kilowatt-hours","3783"
"DBEREL01C01","Household Electricity Consumption","2023","2023","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
